model,query_type,request_idx,tool_idx,function_name,parameters,purpose,tool_count,acknowledges_noise,from_cache
router,clean,4,0,search_restaurants,"- cuisine_type: ""Italian""
     - location: ""Austin, Texas""
     - filters: [""outdoor seating""]
     - sort_by: ""rating""
   -",Find highly-rated Italian restaurants in Austin that have outdoor seating options,4,False,True
router,clean,4,1,get_restaurant_details,"- restaurant_id: [ID from first search]
     - details_required: [""hours"", ""availability"", ""menu"", ""reviews"", ""parking""]
   -",Get detailed information about specific restaurants to verify they meet all requirements,4,False,True
router,clean,4,2,check_reservation_availability,"- restaurant_id: [ID from first search]
     - date: [today's date]
     - time: ""19:30""
     - party_size: 6
   -",Check if the selected restaurant has availability for the requested party size and time,4,False,True
router,clean,4,3,make_restaurant_reservation,"- restaurant_id: [ID from first search]
     - date: [today's date]
     - time: ""19:30""
     - party_size: 6
     - seating_preference: ""outdoor""
   -",Actually book the reservation once availability is confirmed,4,False,True
router,clean,3,0,search_restaurants,"- cuisine_type: ""Italian""
     - location: ""Austin, Texas""
     - filters: [""outdoor seating""]
   -","Search for Italian restaurants in Austin that have outdoor seating options and return a list of matches with ratings, reviews, and basic details",3,False,True
router,clean,3,1,get_restaurant_availability,"- date: ""today""
     - time: ""7:30 PM""
     - party_size: 6
     - restaurant_ids: [results from search_restaurants]
   -",Check which of the found restaurants have availability for the requested party size and time,3,False,True
router,clean,3,2,make_restaurant_reservation,"- restaurant_id: [selected restaurant ID]
     - date: ""today""
     - time: ""7:30 PM""
     - party_size: 6
     - seating_preference: ""outdoor""
   -",Actually book the reservation at the chosen restaurant for the specified party size and time,3,False,True
router,clean,10,0,search_restaurants,"- cuisine_type: ""Italian""
     - location: ""Austin, Texas""
     - filters: [""outdoor seating""]
   -",Find Italian restaurants in Austin that have outdoor seating options,4,False,True
router,clean,10,1,get_restaurant_reviews,"- restaurant_ids: [results from search_restaurants]
     - min_rating: 4.0
   -",Filter and sort restaurants by rating to ensure quality options,4,False,True
router,clean,10,2,check_restaurant_availability,"- restaurant_ids: [filtered results from get_restaurant_reviews]
     - date: ""today""
     - time: ""7:30 PM""
     - party_size: 6
   -",Check which restaurants have availability for the requested party size and time,4,False,True
router,clean,10,3,make_restaurant_reservation,"- restaurant_id: [selected restaurant from available options]
     - date: ""today""
     - time: ""7:30 PM""
     - party_size: 6
     - seating_preference: ""outdoor""
   -",Make the actual reservation at the chosen restaurant,4,False,True
router,clean,2,0,search_restaurants,"- cuisine_type: ""Italian""
  - location: ""Austin, Texas""
  - features: [""outdoor seating""]
  - min_rating: 4.0
-",Search for highly-rated Italian restaurants in Austin that have outdoor seating options,4,False,True
router,clean,2,1,get_restaurant_availability,"- restaurant_ids: [results from search_restaurants]
  - date: current_date
  - time: ""19:30""
  - party_size: 6
-",Check which of the found restaurants have availability for the requested party size and time,4,False,True
router,clean,2,2,get_restaurant_details,"- restaurant_id: [selected restaurant from available options]
-","Retrieve detailed information about the specific restaurant including menu, photos, exact address, and contact information",4,False,True
