model,query_type,request_idx,tool_idx,function_name,parameters,purpose,tool_count,acknowledges_noise,from_cache
router,clean,5,0,search_restaurants,"- cuisine_type: ""Italian""
     - location: ""Austin, Texas""
     - filters: [""outdoor seating""]
   -",Search for Italian restaurants in Austin that have outdoor seating options,4,False,False
router,clean,5,1,get_restaurant_details,"- restaurant_id: [ID from search results]
     - fields: [""ratings"", ""reviews"", ""photos"", ""price_range"", ""hours""]
   -",Fetch detailed information about specific restaurants to help make an informed choice,4,False,False
router,clean,5,2,check_availability,"- restaurant_id: [ID of chosen restaurant]
     - date: [today's date]
     - time: ""19:30""
     - party_size: 6
   -",Check if the selected restaurant has availability for the requested party size and time,4,False,False
router,clean,5,3,make_reservation,"- restaurant_id: [ID of chosen restaurant]
     - date: [today's date]
     - time: ""19:30""
     - party_size: 6
     - customer_info: [user's contact details]
   -",Actually book the reservation once availability is confirmed,4,False,False
router,clean,7,0,search_restaurants,"- cuisine_type: ""Italian""
     - location: ""Austin, Texas""
     - features: [""outdoor seating""]
     - rating_minimum: 4.0
   -",Find highly-rated Italian restaurants in Austin that have outdoor seating options,4,False,False
router,clean,7,1,get_restaurant_availability,"- restaurant_ids: [results from search_restaurants]
     - date: ""today""
     - time: ""19:30""
     - party_size: 6
   -",Check which of the found restaurants have availability for the requested party size and time,4,False,False
router,clean,7,2,make_restaurant_reservation,"- restaurant_id: [selected restaurant id]
     - date: ""today""
     - time: ""19:30""
     - party_size: 6
     - seating_preference: ""outdoor""
   -",Actually book the reservation at the chosen restaurant with the specified parameters,4,False,False
router,clean,7,3,get_reservation_confirmation,"- reservation_id: [id from make_restaurant_reservation]
   -",Retrieve the confirmation details and any special instructions for the reservation,4,False,False
router,clean,2,0,search_restaurants,"- cuisine_type: ""Italian""
     - location: ""Austin, Texas""
     - features: [""outdoor seating""]
     - rating_minimum: 4.0
   -",Find highly-rated Italian restaurants in Austin that have outdoor seating options,4,False,False
router,clean,2,1,get_restaurant_availability,"- restaurant_ids: [results from search_restaurants]
     - date: ""today""
     - time: ""19:30""
     - party_size: 6
   -",Check which of the found restaurants have availability for the requested party size and time,4,False,False
router,clean,2,2,make_restaurant_reservation,"- restaurant_id: [selected restaurant id]
     - date: ""today""
     - time: ""19:30""
     - party_size: 6
     - seating_preference: ""outdoor""
   -",Actually book the reservation at the chosen restaurant with the specified parameters,4,False,False
router,clean,2,3,get_reservation_confirmation,"- reservation_id: [id from make_restaurant_reservation]
   -",Retrieve the confirmation details and any special instructions for the reservation,4,False,False
